attach,http://173.249.16.242:14265 score: 7.467718440482525 scoreNorm: 0.03177070271402582
746,33,0
566,21,1
568,33,2
464,43,3
548,20,4
395,20,5
818,20,6
557,39,7
390,25,8
763,31,9
734,25,10
534,28,11
1189,19,12
596,39,13
432,21,14
544,29,15
642,37,16
913,40,17
576,16,18
876,37,19
1327,36,20
648,20,21
629,16,22
628,35,23
683,34,24
799,34,25
836,31,26
809,31,27
555,15,28
812,23,29
460,23,30
713,23,31
656,35,32
576,42,33
773,24,34
561,41,35
667,47,36
305,43,37
382,37,38
617,44,39
829,30,40
345,48,41
387,41,42
