attach,OSIGEEKEWNKVKGBIGRBEJYZZEBJJKUHR9GGJQSRANUMYAHKBFFUTJZRQS9KRKMVRDQPMEWIJGP9BJPIBL https://wallet1.iota.town:443 score: 1
-1,3
-1,4
-1,5
-1,2
-1,6
-1,8
191634,1
-1,9
517037,0
-1,7
-1,10
-1,11
-1,12
-1,13
-1,16
-1,14
-1,15
-1,17
27500,18
87079,19
83037,20
-1,24
-1,26
-1,25
220461,21
228877,22
-1,27
-1,28
-1,31
-1,30
387739,23
-1,32
-1,33
-1,35
394093,29
-1,38
-1,40
-1,41
400549,34
-1,42
338841,37
-1,43
580850,36
517592,39
459218,44
