attach,NEHEEICGRFAVZ9KCXYJOPDCMWNSBMBYVXACZTXOVFOOZIKJFPM9AYRMWHYEDRUYDERGFOKULIQQEOYVTM https://www.iotaqubic.us:443 score: 0.42284852477504437
55688,0
-1,2
-1,1
-1,3
-1,6
259407,4
340580,5
-1,7
-1,8
-1,10
-1,11
-1,12
251240,9
-1,14
-1,15
-1,16
-1,13
-1,18
-1,19
-1,17
-1,20
-1,21
92660,22
117794,23
-1,27
-1,28
-1,29
-1,30
424434,24
-1,32
-1,33
509070,25
-1,34
555845,26
-1,38
-1,37
-1,39
-1,40
505385,31
-1,42
555769,35
-1,43
-1,44
691023,36
339558,41
