attach,VPJAUS9KOIFIWSZMNUMQASQRCJWYVYTXOPRZSR9ARAOKUBNSGQTXOXFJZSVHTYHHYDZRNBB9AOHLISUAN https://hanspetzersnode.org:14267 score: 0.3161329588495394
59127,0
-1,2
-1,4
-1,5
299296,1
-1,8
246184,3
-1,9
-1,6
333301,7
363042,10
-1,11
-1,12
-1,14
-1,15
-1,16
296999,13
-1,19
-1,20
-1,21
-1,18
-1,17
-1,23
-1,24
-1,22
-1,25
-1,26
18424,27
-1,30
-1,31
202193,28
-1,32
-1,34
239980,33
175511,35
629782,29
-1,36
-1,37
-1,39
-1,41
-1,42
-1,43
523771,38
-1,40
