attach,IAISLCYTWUMIHWWFRKRPTHJKMHDG9OZGA9VARX9VTRXTZOOSDSJIWMFDZGAJKJJIDKZGHWIGVJPFPOJQU https://hanspetzersnode.org:14267 score: 0.3161329588495394
-1,0
-1,3
343892,1
301328,4
-1,6
-1,7
-1,8
513694,2
-1,9
-1,10
467024,5
-1,12
-1,13
-1,14
-1,11
-1,16
-1,17
-1,15
-1,18
-1,19
96038,20
148068,21
-1,23
-1,25
-1,26
-1,27
-1,22
-1,24
-1,29
-1,30
-1,31
249644,28
-1,35
-1,36
212385,32
-1,37
-1,38
-1,40
-1,34
523170,33
-1,41
-1,42
-1,39
337242,43
439640,44
