id, latitude, longitude, timestamp, executionTime
0, -22.8951, -43.256, 2020-03-11T22:45:28.138Z, 1910
1, -22.894, -43.2578, 2020-03-11T22:46:28.155Z, 1703
2, -22.8949, -43.2624, 2020-03-11T22:47:47.166Z, 2185
3, -22.8967, -43.2632, 2020-03-11T22:49:08.180Z, 2252
4, -22.899, -43.2636, 2020-03-11T22:49:27.189Z, 1433
5, -22.9007, -43.2666, 2020-03-11T22:50:27.195Z, 1540
6, -22.9018, -43.2692, 2020-03-11T22:51:27.213Z, 1918
7, -22.897, -43.2722, 2020-03-11T22:53:27.228Z, 1928
8, -22.8964, -43.2726, 2020-03-11T22:54:27.238Z, 2338
9, -22.8926, -43.2767, 2020-03-11T22:55:55.247Z, 1199
10, -22.8921, -43.2775, 2020-03-11T22:56:26.249Z, 3187
11, -22.892, -43.2794, 2020-03-11T22:57:26.254Z, 1356
12, -22.8919, -43.2804, 2020-03-11T22:58:26.264Z, 2979
13, -22.8919, -43.2818, 2020-03-11T22:59:26.274Z, 2751
