attach,MSUVX9CLZSSPEVJNLCAFHNEIPDNISWGSBVMJFAJV9VCBMVKYYWE9FHINVNQKXNSFHJOES9LISSQVSGHFS https://dyn.tangle-nodes.com:443 score: 0.5430117706635029
1307,0
7772,1
3088,2
-1,3
2119,4
3962,5
3307,6
2177,7
1747,8
2269,9
7077,10
1318,11
1203,12
-1,13
1254,14
6348,15
2581,16
5660,17
4349,18
2283,19
2209,20
2892,21
3350,22
4156,23
2100,24
1208,25
2255,26
2394,27
1851,28
1544,29
937,30
4280,31
2334,32
2487,33
1887,34
3868,35
4719,36
5424,37
2785,38
1935,39
2254,40
2113,41
4263,42
3779,43
3332,44
