attach,https://wallet1.iota.town:443 score: 71.42064228057862 scoreNorm: 0.6423417877824137
55556,0
31715,1
25027,2
18556,3
30269,4
33196,5
41652,6
46587,7
70830,8
60942,9
49280,10
97047,11
139402,12
132598,13
159494,14
153901,15
150894,16
123688,17
158020,18
175237,19
176043,20
197971,21
180183,22
110775,23
115799,24
90258,25
86609,26
128930,27
117936,28
119255,29
189667,30
162351,31
159351,32
180826,33
147825,34
38670,35
23052,36
33328,37
9936,38
19537,39
63919,40
34102,41
56055,42
