attach,https://iota1.chain.garden:443 score: 9.718466475717445 scoreNorm: 0.08740578257461762
49777,0
50177,1
29814,2
11610,3
35658,4
32068,5
12227,6
24845,7
10956,8
11449,9
14922,10
21301,11
22330,12
11767,13
26325,14
20014,15
8539,16
10832,17
10634,18
29377,19
6524,20
8160,21
12213,22
8098,23
10409,24
17595,25
9197,26
7913,27
9149,28
15616,29
45494,30
39982,31
10189,32
48819,33
15046,34
14502,35
23640,36
30939,37
61383,38
28482,39
9159,40
23004,41
34214,42
21697,43
6448,44
