attach,EZ9TRRZXOJALCFSIYPKDCPHFJWMMPKYBITGH9LOUMZXNAHAH9JMJOU9EFJQCTPBSAWJARTDNZTFTBZVKB https://nodes.tangled.it:443 score: 0.09498594464883477
18576,0
139864,1
159648,2
280613,3
323286,4
349362,5
548392,6
-1,12
-1,13
-1,11
-1,10
-1,15
-1,16
-1,14
638386,7
787831,8
827459,9
-1,23
-1,20
-1,19
-1,26
-1,18
-1,17
-1,36
-1,30
-1,31
-1,32
-1,33
-1,25
-1,24
-1,34
-1,29
-1,21
-1,28
-1,27
-1,22
-1,35
-1,37
-1,38
-1,39
-1,40
-1,41
-1,42
