attach,https://nodes.iota.cafe:443 score: 13.520336085117574 scoreNorm: 0.13204602832912726
7076,0
10518,1
15004,2
9099,3
14707,4
9557,5
2645,6
3784,7
3577,8
4382,9
7876,10
7753,11
4986,12
6255,13
3910,14
2277,15
5042,16
5596,17
4922,18
6823,19
8616,20
15530,21
7808,22
12200,23
3360,24
19823,25
1117,26
3683,27
10638,28
12290,29
2250,30
6995,31
2930,32
10195,33
4650,34
2845,35
8116,36
5623,37
7097,38
4493,39
7829,40
5814,41
3940,42
4630,43
5205,44
