attach,http://node03.iotatoken.nl:14265 score: 10.383828355662935 scoreNorm: 0.10141340308292636
-104331,0
-98679,1
-97703,2
-103479,3
-98964,4
-99056,5
-103950,6
-97486,7
-101613,8
-102337,9
-100700,10
-96901,11
-101562,12
-98493,13
-95481,14
-101444,15
-101788,16
-98981,17
-100706,18
-99273,19
-96434,20
-103859,21
-98578,22
-98907,23
-100825,24
-101961,25
-100907,26
-99400,27
-103808,28
-101541,29
-102796,30
-102896,31
-96797,32
-102905,33
-87584,34
-100467,35
-98025,36
-98341,37
-95708,38
-102505,39
-102712,40
-100468,41
-96064,42
-98157,43
