attach,http://159.69.116.60:14265 score: 38.12857636951265 scoreNorm: 0.1715873311590715
943,2669,0
755,13465,1
614,9176,2
498,7586,3
823,7463,4
829,4487,5
795,1832,6
662,5632,7
724,21259,8
569,6821,9
1525,8843,10
949,2463,11
711,4868,12
31319,12853,13
1028,2375,14
6794,4678,15
883,11648,16
1671,13156,17
753,20365,18
1164,4276,19
1587,12396,20
805,5981,21
6068,4305,22
761,16002,23
1185,7528,24
781,7547,25
1803,4139,26
3977,4683,27
6683,7541,28
508,4795,29
462,11312,30
422,12064,31
795,12161,32
1147,6513,33
1023,7435,34
582,8360,35
1087,4971,36
1449,8673,38
1280,5435,39
1156,12152,40
1370,6821,41
1250,23340,42
1641,15085,43
2277,5977,44
-1,-1,37
