attach,http://207.180.224.65:14265 score: 50.328905414789915 scoreNorm: 0.5549530916582625
26916,0
57947,1
89690,2
76339,3
72575,4
88295,5
108081,6
198956,7
185521,8
205936,9
162167,11
138973,12
314747,10
117369,13
173340,14
184718,15
146227,16
169107,17
219813,18
182786,20
183564,21
165747,22
439204,19
212389,23
242309,24
225473,25
179787,26
269406,27
232891,28
200121,29
214718,30
199156,31
172466,32
146086,33
102397,34
91356,35
62561,36
34563,37
21334,38
12962,39
13771,40
37465,41
18741,42
5949,43
32955,44
