attach,https://wallet1.iota.town:443 score: 119.26834902763368 scoreNorm: 0.4872693162937121
232425,1
235099,0
276045,2
57022,6
237040,3
199702,4
186230,5
195559,7
165939,8
193820,9
285232,10
374044,11
386936,12
433016,13
385469,14
462668,15
465161,16
445370,18
476451,17
453730,19
466431,20
474489,21
527553,22
515983,23
564631,24
563303,25
548014,26
541878,27
480766,29
460805,30
454755,31
431182,32
398894,33
419890,34
466562,35
485902,36
990787,28
486714,37
486645,38
522411,39
495778,41
466139,42
427031,43
396526,44
692972,40
