attach,https://hanspetzersnode.org:14267 score: 44.8735060505569 scoreNorm: 0.18333013570843115
4021,0
13349,1
11572,2
26976,3
14517,4
125401,5
110764,6
107019,7
75027,8
55727,9
79767,10
66274,11
64417,12
117375,13
129384,14
146812,15
184242,16
189639,17
238405,18
292008,19
267116,20
284351,21
333098,22
342764,23
335729,24
271327,26
238008,28
502553,25
-1,34
-1,35
217491,30
-1,33
469618,27
240319,32
513922,29
505626,31
209702,36
164345,38
263495,39
448096,37
314639,40
261839,42
225576,43
364690,41
216903,44
