attach,http://207.180.202.219:14265 score: 95.29859025095527 scoreNorm: 0.43736931698172526
-1,-1,1
-1,-1,0
-1,-1,3
-1,-1,2
-1,-1,5
-1,-1,4
-1,-1,6
-1,-1,7
-1,-1,8
-1,-1,9
-1,-1,11
-1,-1,10
1570342929132,1570343088337,1570343102308,12
-1,-1,13
-1,-1,14
1570343109241,1570343301996,1570343316125,15
-1,-1,16
-1,-1,17
-1,-1,18
1570343379466,1570343507337,1570343530703,19
-1,-1,21
-1,-1,20
-1,-1,22
1570343619827,1570343708749,1570343763832,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
1570344010213,1570344102915,1570344107244,29
1570344070388,1570344107316,1570344113188,30
1570344130422,1570344190205,1570344199371,31
1570344190721,1570344209069,1570344237685,32
1570344220754,1570344267063,1570344267859,33
1570344280799,1570344292270,1570344299978,34
1570344431001,1570344514420,1570344551984,35
1570344461027,1570344639934,1570344671949,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
1570344791545,1570344937632,1570344999975,41
-1,-1,42
