attach,https://wallet1.iota.town:443 score: 137.06805109977722 scoreNorm: 1
6988,0
45792,1
32363,2
24250,3
16546,4
4922,5
96090,6
17672,7
43334,8
35723,9
10463,10
19917,11
6490,12
13527,13
7736,14
12475,15
31107,16
64005,17
40226,18
22411,19
14860,20
11582,21
30850,22
34657,23
17892,24
91683,25
158503,27
167351,28
286021,26
135741,29
68336,31
138629,30
85731,32
77500,33
31996,34
39063,35
28984,36
18629,37
12888,38
21133,39
8169,40
33287,41
29369,42
