attach,http://mandelhost.de:14265 score: 85.45246364593504 scoreNorm: 0.6234309378465652
917503,0
876340,1
874342,2
844379,3
814366,4
792768,5
786866,6
785468,7
801764,8
834042,9
815056,10
757237,11
735975,12
736047,13
784572,14
789084,15
840476,16
836413,17
892219,18
1119615,19
1112415,20
1129316,21
1232595,22
1263997,23
1268286,24
1301401,25
1371101,26
1409882,27
1548554,28
1600720,29
1713017,30
1732427,31
1750241,32
1787072,33
1789225,34
1780968,35
1644662,36
1649166,37
1675909,38
1781018,39
1832744,40
1839988,41
1871510,42
1881017,43
