attach,https://ultranode.iotatoken.nl:443 score: 64.44562769911025 scoreNorm: 0.5775054974913413
3367,0
6459,1
5972,2
120117,3
144014,4
167051,5
172716,6
-1,7
-1,8
-1,10
184467,9
-1,11
-1,12
-1,13
-1,14
-1,15
-1,16
-1,17
-1,18
-1,19
-1,20
-1,21
-1,22
-1,24
208822,23
-1,26
-1,25
-1,27
-1,28
-1,29
-1,30
-1,31
-1,33
-1,32
-1,35
-1,34
-1,36
-1,37
-1,38
-1,39
-1,40
-1,41
-1,42
-1,44
-1,43
