attach,https://nodes.thetangle.org:443 score: 111.66208342477177 scoreNorm: 0.5468467048353903
1564,31150,0
492,7873,1
1683,1233,2
1010,2489,3
1207,3133,4
5417,13950,5
495,10304,6
1590,16198,7
726,24448,8
551,29699,9
1068,30535,10
582,6606,11
906,5821,12
2146,8097,13
1523,711,14
3074,2925,15
518,7035,16
-1,-1,17
303,852,18
1376,3463,19
749,12513,20
1214,16490,21
1033,36677,22
511,29322,23
712,1761,24
739,915,25
534,1144,26
519,950,27
598,1242,28
597,16003,29
754,22944,30
810,29694,31
1275,25913,32
732,5324,33
521,318,34
1433,1052,35
687,2248,36
497,37224,37
1355,22500,38
584,1562,39
1569,1289,40
1820,1404,41
863,10796,42
-1,-1,43
