attach,https://hanspetzersnode.org:14267 score: 71.2986734714359 scoreNorm: 0.655525059832991
60600,0
19763,1
4323,2
12101,3
75406,4
-1,6
95505,5
8306,7
17622,8
23717,9
7150,10
-1,12
-1,13
132674,11
49959,14
10281,15
47711,16
21241,17
3996,18
54121,19
12214,20
54533,21
20735,22
13073,23
21983,24
16682,25
15996,26
37869,28
111054,27
42276,29
2371,30
15639,31
4513,32
-1,33
-1,34
11183,35
33189,36
15473,37
10315,38
38037,39
23260,40
1065,41
28559,42
26826,43
-1,44
