attach,https://nodes.thetangle.org:443 score: 116.8465499912219 scoreNorm: 0.5057345097411008
539,1114,0
483,2646,1
429,8224,2
669,6602,3
285,1564,4
511,1837,5
1901,4717,6
372,2775,7
508,848,8
507,10488,9
707,40553,10
1743,19876,11
755,5508,13
-1,-1,12
539,3137,14
603,2006,15
471,3290,16
837,44697,17
658,14761,18
601,10179,19
607,22710,20
904,23709,21
599,25093,22
467,4117,23
512,3037,24
488,418,25
799,1321,26
723,2055,27
1312,4560,28
619,11712,29
613,16400,30
790,24293,31
570,42031,32
-1,-1,33
405,8566,34
650,229,35
417,3320,36
377,2824,37
694,13552,38
802,10117,39
785,18684,40
435,23488,41
642,27570,42
357,2168,43
429,2288,44
