attach,https://pow.iota.community:443 score: 59.20029357075691 scoreNorm: 0.535252341159317
9944,0
7599,1
2662,2
6554,3
8174,4
1895,5
3990,6
15739,7
22333,8
3653,9
3084,10
7392,11
7852,12
1119,13
7686,14
20653,15
9890,16
2737,17
2942,18
4128,19
22570,20
13086,21
3588,22
3905,23
10713,24
14170,25
6517,26
3446,27
6575,28
22514,29
12191,30
9357,31
9945,32
6194,33
6264,34
4053,35
10393,36
4009,37
2127,38
13277,39
4251,40
5847,41
7051,42
5235,43
14276,44
