attach,https://trinity.iota-tangle.io:14265 score: 100.65895114839077 scoreNorm: 0.9100958122179226
1737,0
1774,1
1612,2
3338,3
1235,4
1650,5
2085,6
1923,7
1711,8
962,9
2512,10
1327,11
2009,12
2321,13
1444,14
1612,15
973,16
1081,17
2086,18
1955,19
2169,20
3127,21
847,22
4119,23
1564,24
1913,25
1468,26
3556,27
859,28
1857,29
958,30
10851,31
1813,32
1627,33
5363,34
1428,35
2984,36
1530,37
2632,38
4277,39
1194,40
1300,41
2653,42
