attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 LQEJTFXARPNFUNHOHHBXPR99KBAMX9TZYPZSPRQSVBCOXU9IGNAJBHDZIMOZOJZVNPVMPGLFCOH9PWWOD
544,0
503,1
6771,2
24693,3
-1,4
-1,5
-1,6
-1,7
-1,8
