attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 DOESVNVNSOJFTBGISNVQTNUUUINNSCQKULSZZURKFRMNHXBRWGGL99UMOASQIGLQG9DICYOGPERMTNJOT
871,0
631,1
4287,2
15780,3
-1,4
-1,5
-1,6
-1,7
-1,8
-1,9
