attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 FXXSPZZQWSOXAADDRKHHOUWQAMDQDAMWAVDEFXJUHERQYPMELVO9KPU9WIQWMHDRZT99RTAXPESKWMBZL
650,0
9556,1
28426,2
-1,3
-1,4
