attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 NIKSWNGJT9LAXUJQBFLPGPHSIJUPMYRZRJRJTSKDWUWRYRNFTWGPGPAREKVTJTOAOPEVCECZXIVZLVEHF
-1,0
-1,1
-1,2
-1,3
