attach,9NBYYIEZJXEPNWOEJ9RPNLCCLUIEI9CCHDAIZOLKIUVPTTXHXGGP9USRUDJIYHPZ9NHZNNHFMWIVSBGDU https://wallet2.iota.town:443
-1,0
-1,2
-1,1
-1,4
-1,5
-1,8
-1,9
320207,3
-1,10
-1,11
-1,12
332508,7
-1,14
513556,6
-1,15
-1,16
-1,18
-1,17
-1,13
-1,20
-1,21
-1,22
-1,23
-1,25
-1,24
-1,19
-1,26
-1,27
-1,30
-1,28
-1,31
-1,32
-1,33
-1,37
-1,39
-1,38
-1,40
-1,41
637831,29
406624,36
513811,35
630427,34
421219,43
537371,42
-1,44
