attach,DEIVSJFBYBAQCZMD9XFFHYJLMBXWNPFHKJQSVHYGCW9OJJAHUNZAFVTVENYEMVOHWFSAKUZTG9YXNBXHM https://pow.iota.community:443
100380,0
108799,1
-1,5
-1,6
-1,3
-1,2
496720,4
159263,7
178561,8
-1,9
-1,11
-1,12
-1,14
-1,13
-1,15
-1,16
-1,17
-1,19
375877,10
-1,18
-1,20
-1,25
-1,28
-1,26
-1,23
-1,29
-1,30
-1,21
513201,22
-1,31
-1,32
-1,24
-1,35
-1,36
-1,38
-1,37
594881,27
-1,39
-1,40
379293,34
636005,33
-1,42
-1,43
-1,41
-1,44
