attach,DSFYAMAKMXSBBLNTOUWEBRIRBCVSTE9AQQYBCDFTQHKQVYSOAVYGTODSDTN9TXDQU9DXLTBSJFXEMTMBM https://node-iota.org:14267
77856,0
106698,1
124764,2
-1,7
181603,3
-1,8
-1,9
-1,10
202216,5
-1,4
522696,6
-1,11
-1,12
-1,14
-1,13
-1,16
-1,17
-1,21
-1,22
-1,23
-1,18
-1,19
-1,20
-1,15
-1,25
-1,28
-1,29
-1,31
-1,27
-1,30
-1,33
468854,24
440453,26
-1,34
-1,35
-1,32
-1,36
-1,37
-1,38
-1,40
-1,41
-1,42
-1,39
-1,43
