attach,https://iotanode.world:14267 score: 45.94702988187608 scoreNorm: 0.4124194674738828
64286,0
119226,1
119273,2
116983,4
121780,5
204201,3
23819,7
155179,6
154091,8
262931,9
-1,10
-1,11
-1,16
378633,12
-1,15
450514,13
442375,14
-1,18
-1,17
409240,19
464478,20
-1,24
-1,23
-1,22
-1,21
-1,25
256481,26
205506,27
73912,28
26563,29
22577,30
19887,31
17562,32
25398,33
5697,34
34020,35
50878,36
30072,37
17842,38
19495,39
3029,40
72069,41
22249,42
12789,43
37932,44
