attach,https://nodes.thetangle.org:443 score: 77.31077111529622 scoreNorm: 0.6939396765217813
2351,0
8144,1
4588,2
1188,3
2268,4
1406,5
8179,6
4607,7
4576,8
6542,9
1048,10
1555,11
3601,12
1037,13
5598,14
9713,15
3264,16
1746,17
1998,18
5997,19
1098,20
1931,21
5876,22
7741,23
1802,24
2377,25
4307,26
5715,27
4881,28
12286,29
2026,30
15195,31
9282,32
3660,33
21488,34
882,35
980,36
1281,37
10171,38
1877,39
2558,40
1420,41
2521,42
38643,43
3644,44
