attach,https://piota-node.com:443 score: 6.172090573942281 scoreNorm: 0.06038858998843464
6365,0
3905,1
12161,2
6599,3
19338,4
21426,5
24385,6
18020,7
56508,8
40054,9
28079,10
54573,11
29915,12
46100,13
12280,14
20377,15
4404,16
19669,17
48367,18
11855,19
6351,20
19569,21
28288,22
34287,23
4158,24
8550,25
59629,26
32320,27
13106,28
35715,29
6997,30
23730,31
40231,32
49990,33
25788,34
27141,35
6307,36
15859,37
23839,38
31694,39
19458,40
33278,41
10092,42
10398,43
17018,44
