attach,https://contabo02.pinter-net.at:14267 score: 18.03192676976323 scoreNorm: 0.17642687179575625
8462,0
17324,1
7607,2
50282,3
63346,4
6641,5
62283,6
19942,7
17217,8
6557,9
43158,10
30052,11
19039,12
3212,13
24872,14
35130,15
22003,16
45446,17
26624,18
58898,19
55804,20
26460,21
20248,22
30167,23
44932,24
31077,25
32994,26
12545,27
22210,28
30309,29
34579,30
25213,31
17708,32
63015,33
69609,34
37783,35
12945,36
49431,37
11059,38
37507,39
34915,40
21726,41
40215,42
16187,44
53844,43
