attach,https://wallet2.iota.town:443 score: 116.06804598569872 scoreNorm: 0.4944389002942319
32967,243185,0
137695,128844,1
16432,339485,2
153495,362319,3
443504,2678,4
212732,238030,5
44220,430301,6
-1,-1,9
388181,226253,7
325264,265756,8
555301,133616,10
494467,201631,11
433912,248484,12
372629,280429,13
-1,-1,14
-1,-1,15
-1,-1,19
-1,-1,18
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,17
-1,-1,16
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
577160,313766,24
455598,453663,26
516483,384496,25
581307,58684,32
517358,81946,33
266906,318106,34
206289,321183,35
143238,466517,36
81787,488198,37
8923,518822,38
268331,218602,39
207581,233769,40
144228,277670,41
32069,431834,42
373830,88933,43
191129,401467,44
