attach,https://nodes.thetangle.org:443 score: 92.44494294241572 scoreNorm: 0.4112288148041783
654,13385,0
517,4479,1
538,2748,2
1341,10116,3
590,1295,4
484,340,5
654,5887,6
1364,20054,7
505,20457,8
1278,13356,9
465,15231,10
852,604,11
503,982,12
601,2220,13
632,2998,14
327,1420,15
731,6073,16
1739,9397,17
499,15921,18
515,23004,19
363,28329,20
-1,-1,21
1591,2131,22
539,3263,23
510,11363,24
577,2017,25
568,7232,26
859,3521,27
795,36771,28
467,19683,29
1325,24539,30
422,33297,31
280,2743,32
678,1401,33
658,16182,34
493,3595,35
348,3946,36
389,29736,37
551,43405,38
517,17910,39
442,29967,40
378,28275,41
857,3843,42
868,25371,43
6982,28908,44
