attach,NCAVMPVB9AMMXJGNZ9UKXZKWCEXRFHT9OBFXXDZVCSOHEMP9VDACKM9WK99FJKWVMNEBIAAQZLILVKVVF https://hanspetzersnode.org:14267 score: 0.7252383759979829
3495,0
5946,1
20614,2
15821,3
22006,4
9317,5
7893,6
7992,7
9447,8
7403,9
4915,10
11309,11
6857,12
4350,13
8098,14
20039,15
4152,16
46269,18
96124,17
29363,19
61264,20
59326,21
73168,22
180097,23
-1,24
-1,25
160205,26
-1,27
-1,28
-1,30
-1,29
-1,32
-1,31
-1,33
-1,34
-1,36
-1,35
-1,37
-1,38
-1,39
-1,40
-1,41
-1,42
