attach,http://167.86.108.113:14265 score: 0 scoreNorm: 0
1692,11,0
1526,16,1
1483,29,2
1625,25,3
1674,47,4
1791,25,5
1732,34,6
1545,43,7
1419,50,8
1604,44,9
1612,51,10
1798,48,11
1663,41,12
1412,48,13
1840,46,14
1615,54,15
1913,51,16
1711,53,17
1544,51,18
2072,56,19
5206,45,20
1791,64,21
1564,69,22
1709,52,23
1646,40,24
1658,41,25
2786,82,26
2158,37,27
1859,53,28
2007,47,29
1644,40,30
1709,34,31
1803,26,32
1636,28,33
1718,40,34
1835,40,35
1539,52,36
1813,33,37
2021,28,38
1584,43,39
1755,38,40
1762,24,41
1714,38,42
1594,31,43
1707,50,44
