attach,https://nodes.thetangle.org:443 score: 117.38160309866574 scoreNorm: 0.6311009169812549
7829,3918,0
1607,8013,1
457,3158,2
1214,3233,3
1396,479,4
422,1787,5
557,658,6
707,385,7
408,27772,8
370,14549,9
635,16685,10
305,6512,11
382,1560,12
760,1049,13
641,4505,14
758,4898,15
944,4136,16
556,10504,17
898,16467,18
392,34740,19
540,28190,20
-1,-1,21
786,1026,22
735,7038,23
536,816,24
602,1629,25
-1,-1,26
584,4783,27
761,9532,28
370,15543,29
664,24884,30
793,28690,31
780,1654,32
409,1591,33
836,1000,34
557,9383,35
392,726,36
648,5020,37
545,9341,38
-1,-1,39
516,21881,40
367,28620,41
746,2147,42
371,1711,43
698,1494,44
