attach,http://173.249.43.185:14265 score: 39.73303322280589 scoreNorm: 0.16704147543902959
-1,-1,0
-1,-1,1
-1,-1,2
-1,-1,4
-1,-1,3
-1,-1,5
94760,9097,6
4279,102431,7
21460,16774,9
-1,-1,8
-1,-1,10
65606,49932,11
-1,-1,12
-1,-1,13
-1,-1,15
-1,-1,14
66818,14879,16
862,108277,17
84328,78077,18
-1,-1,19
118355,98319,20
-1,-1,22
-1,-1,21
-1,-1,23
-1,-1,24
-1,-1,26
-1,-1,25
-1,-1,27
-1,-1,28
-1,-1,30
-1,-1,29
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
117279,19458,35
-1,-1,37
-1,-1,36
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,42
-1,-1,41
