attach,XREXKQEEDJXKUKZXPVMQORQADHNNRXIEVKEKBKOEZMYAJWRR9QBWATMJBBMTHNLVSKHLMBB9B9UAGADHS https://wallet1.iota.town:443
1334,0
1573,1
6197,2
2788,3
4180,4
1641,5
1481,6
1612,7
2019,8
-1,9
805,10
2138,11
4561,12
2781,13
1211,14
992,15
2959,16
5733,17
1633,18
4334,19
3263,20
1868,21
1255,22
5289,23
3196,24
4020,25
3537,26
3187,27
2339,28
2049,29
2173,30
1757,31
1214,32
4919,33
1753,34
2302,35
2581,36
1200,37
1758,38
1573,39
1340,40
2225,41
2545,42
