attach,WOG9TQVEBHWNGYRRDAQRDBXZFRPGNAYCUFPXEQEOHQGFJTGPVRCTNDHYPPFGAJKCZYUHZXST9XEGM9WIO https://nodes.thetangle.org:443
3708,0
3566,1
2836,2
645,3
6828,4
1855,5
1464,6
1540,7
2996,8
3092,9
11093,10
1755,11
1251,12
5156,13
5511,14
2621,15
3016,16
1746,17
3573,18
1570,19
2021,20
3534,21
976,22
3900,23
1861,24
1196,25
1153,26
5149,27
1564,28
904,29
2961,30
1371,31
1989,32
1557,33
1887,34
1740,35
1033,36
2426,37
7888,38
3424,39
1269,40
1110,41
1103,42
1193,43
1998,44
