attach,LXKNGXOUYQWJPBFZRW9QPCZGQIEGNANAMSZSYLVRBGHIPDCEBFNNUWNIQJDWAD9SFDPILEJTWLEKUESMP https://node-iota.org:14267
1795,0
4590,1
2205,2
3160,3
3711,4
1885,5
2926,6
2937,7
2352,8
4050,9
2953,10
2718,11
3601,12
2175,13
2880,14
2523,15
1779,16
2617,17
4020,18
1191,19
11157,20
3230,21
3928,22
2430,23
1806,24
1186,25
2733,26
2085,27
2382,28
825,29
1107,30
939,31
1088,32
2255,33
5409,34
1581,35
7658,36
6930,37
3619,38
10746,39
-1,40
3049,41
2769,42
1801,43
1365,44
