attach,XHHEV9SJEI9IPSWBV9D9EACLZ9EWANQVIIXUJPEWFEEOYLRH9PLNKTVALDNQEGCRGF9ZNWSGQBKZQQRWT https://node-iota.org:14267
56017,0
-1,1
85688,2
-1,7
-1,5
-1,8
231485,3
309272,4
-1,9
-1,6
591697,10
-1,13
-1,14
-1,16
-1,17
-1,18
-1,19
-1,15
-1,20
-1,21
-1,22
-1,23
-1,11
-1,12
-1,24
-1,26
-1,27
-1,28
-1,30
-1,31
-1,29
-1,33
-1,34
-1,25
-1,32
-1,35
-1,38
-1,37
-1,39
-1,40
-1,41
-1,36
-1,43
446555,42
