attach,K9JYQONL99WEGULQUW9BKTVOPQXDNNIFKGZF9BJEHYAFTGXOYYUOIOYLJRZZT9VZHTJASEAHNTJYGVEDT https://wallet2.iota.town:443
-1,0
79301,1
-1,6
-1,4
270777,2
-1,7
352527,3
-1,9
-1,10
-1,11
309216,8
-1,13
-1,12
-1,14
-1,15
-1,16
-1,5
-1,19
-1,18
-1,21
-1,22
-1,23
-1,25
-1,17
-1,20
-1,27
-1,28
-1,29
-1,30
-1,24
-1,31
-1,33
-1,34
-1,36
-1,32
963941,26
-1,39
-1,40
-1,41
-1,42
-1,43
-1,44
663567,35
579833,38
-1,37
