attach,VFBGNUTVXBPBTMGCAPXHFOCDKZJPXZSKSGMPAGUFUDROWFHIQMDMKVVQRRZHN9IIJBQHVBEIDF9QT9L9K https://node01.gubiota.ch:443
-1,1
58576,0
-1,5
-1,6
293109,2
355489,3
-1,4
-1,8
-1,7
-1,9
-1,10
-1,11
-1,12
-1,13
-1,14
-1,15
-1,16
-1,18
-1,19
-1,20
-1,22
-1,23
-1,24
-1,26
-1,27
-1,17
-1,28
-1,21
-1,29
-1,25
-1,31
-1,32
-1,35
-1,36
-1,30
-1,37
-1,38
-1,41
-1,42
-1,43
690183,33
722975,34
-1,39
-1,44
-1,40
