attach,MICBFEVIDRNWCWNT9NTUURQFZKRQVWYVTCDYRWVHGFAPDUCCXOQFKWJCWUZCEHZYEAJTUDQCDYVALPDUL https://piota-node.com:443
-1,1
-1,2
-1,4
258704,3
-1,5
-1,6
-1,0
-1,7
-1,10
-1,11
-1,8
-1,12
-1,13
-1,15
-1,16
-1,17
-1,9
-1,18
-1,22
-1,23
-1,24
-1,25
-1,14
-1,26
-1,27
-1,20
-1,28
-1,29
-1,19
-1,31
-1,33
-1,34
-1,30
651159,21
-1,35
-1,37
-1,39
-1,38
-1,41
-1,42
-1,36
591459,32
-1,44
602380,40
535697,43
