attach,BGNUKAFRRKKHTMBXAW9LPHTTUF9LUPSYQOQWIQEWZUWSFAWN9PBXXNJAAPARJWQEU9MQAQBEGBYEJPEOO https://iotanode.world:14267 score: 0.23098750788438713
1182,0
2785,1
2824,2
1114,3
4241,4
1180,5
1512,6
3483,7
1671,8
2619,9
4104,10
2754,11
1416,12
6187,13
4889,14
2542,15
1322,16
729,17
2315,18
1715,19
591,20
2204,21
4551,22
958,23
3932,24
2910,25
2019,26
2039,27
4195,28
-1,29
2302,30
3828,31
3244,32
1721,33
-1,34
2753,35
1986,36
9633,37
2115,38
1432,39
1387,40
3697,41
4539,42
8019,43
1858,44
