attach,XUVL9AWYZZIHBMJBF9GTN9DYMIRVMYSTKBNQFFNVKIYIY9DLEUNISXVKZXRWLYTORKAHDVPGGDQRSCGIF https://nodes.thetangle.org:443 score: 0.6461516147764166
1935,0
2140,1
4979,2
1052,3
4321,4
3896,5
8180,6
7163,7
4164,8
4096,9
2238,10
1229,11
1516,12
2006,13
6427,14
6007,15
5612,16
3356,17
1501,18
2442,19
1790,20
1522,21
3333,22
4716,23
1742,24
4004,25
3954,26
1981,27
4063,28
2629,29
3060,30
2844,31
3068,32
1622,33
1761,34
1482,35
2273,36
3191,37
1750,38
3862,39
1778,40
5075,41
1266,42
1092,43
3367,44
