attach,9KAMCEQHVRQHPHJQSW9WZTARNCLJN9OHDWWKYLP9ZTAF9ZNBPNIKVRPUIHZUZPFBEAUCUKFNBFLKLUVHH https://wallet2.iota.town:443 score: 0.8490033113802772
2735,0
3004,1
993,2
3223,3
2331,4
2878,5
1444,6
1288,7
3271,8
1052,9
1571,10
2559,11
2861,12
4218,13
8972,14
2632,15
1886,16
5253,17
2185,18
1417,19
2539,20
2939,21
979,22
3691,23
1150,24
1806,25
5256,26
1755,27
5453,28
2519,29
1610,30
919,31
3170,32
3003,33
7984,34
1771,35
8538,36
-1,37
4705,38
3110,39
8710,40
980,41
2568,42
4599,43
4940,44
