attach,UKSBCUMBQQXSSGFIZUPJAAFDJBSVGELQWYXKOHRTEXMHTMRGTKHIXLZKVQMWGSQHXOXOKD9RZVYVNCLIH https://nod3.theshock.de:443 score: 0.3059520179832095
4268,0
4925,1
3459,2
1190,3
9515,4
1714,5
1428,6
6338,7
1933,8
1344,9
3234,10
2689,11
1543,12
675,13
2716,14
3852,15
2742,16
5837,17
4910,18
3336,19
1159,20
1029,21
2503,22
1297,23
3119,24
2028,25
3047,26
1295,27
1216,28
1034,29
875,30
3911,31
2206,32
4065,33
593,34
2558,35
2609,36
-1,37
5365,38
1979,39
7808,40
1209,41
1419,42
852,43
1512,44
