attach,http://207.180.202.219:14265 score: 85.39565894644383 scoreNorm: 0.37785542479596534
-1,-1,1
-1,-1,0
-1,-1,2
-1,-1,3
-1,-1,4
-1,-1,5
-1,-1,6
-1,-1,9
-1,-1,8
-1,-1,7
-1,-1,11
-1,-1,10
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
1570328867431,1570329007318,1570329033109,17
-1,-1,18
1570328987533,1570329129234,1570329136228,19
1570329017560,1570329135750,1570329157494,20
-1,-1,22
1570329077693,1570329190340,1570329267546,21
1570329227997,1570329340221,1570329365062,23
1570329318054,1570329421484,1570329476639,24
-1,-1,25
-1,-1,26
-1,-1,27
1570329528424,1570329631071,1570329678209,28
1570329618488,1570329703501,1570329706851,29
1570329678656,1570329762325,1570329782556,30
-1,-1,31
-1,-1,32
-1,-1,33
1570329888885,1570330098588,1570330108405,34
-1,-1,35
-1,-1,36
1570330099171,1570330204342,1570330252778,37
-1,-1,38
-1,-1,40
-1,-1,39
-1,-1,41
-1,-1,42
