attach,https://dyn.tangle-nodes.com:443 score: 40.20895580924566 scoreNorm: 0.17690270896003676
-1,-1,0
-1,-1,1
1118,1044,2
1105,1266,3
-1,-1,4
2514,7297,5
928,12646,6
1289,17265,7
-1,-1,8
1064,16207,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
992,12857,15
1222,15500,16
2285,22777,17
810,8552,18
-1,-1,19
604,1046,20
767,1100,21
893,8232,22
1278,12663,23
873,20448,24
-1,-1,25
-1,-1,26
2552,19294,27
-1,-1,28
-1,-1,29
-1,-1,30
499,23130,31
4250,10788,32
1565,13753,33
-1,-1,34
-1,-1,35
948,5969,36
1790,28256,37
-1,-1,38
-1,-1,39
1096,1151,40
2002,23593,41
-1,-1,42
-1,-1,43
2123,11573,44
