attach,http://node04.iotatoken.nl:14265 score: 45.36184423522312 scoreNorm: 0.19957327831898114
728,6474,0
870,3590,1
1053,3691,2
992,12121,3
6055,9763,4
387,4134,5
529,4110,6
860,4236,7
1129,1873,8
606,6498,9
871,3635,10
623,4633,11
740,2780,12
1175,11105,13
791,2210,14
1096,20887,15
1358,3251,16
6365,3061,17
504,5532,18
987,6797,19
993,1430,20
529,6594,21
736,10908,22
1089,3567,23
8026,3967,24
1328,6459,25
838,8493,26
3173,3333,27
579,8145,28
687,2022,29
9769,13354,30
1015,17092,31
6883,11165,32
651,10196,33
3125,3213,34
736,7451,35
621,3803,36
6980,9782,37
362,3939,38
1090,12654,39
12542,13441,40
553,3390,41
1734,4362,42
