attach,TTXTEJXLESGGESSPHMWNTWQMCDOYSK9DVQSODVYZSXVCRGLT9YWETRDQSXMY9VUPD9VONCXBMDJNC99FZ https://stirrlink.dyndns.org:14267
1458,0
1667,1
3454,2
1965,3
3503,4
2316,5
2460,6
1904,7
1414,8
2845,9
1326,10
-1,11
3944,12
2742,13
786,14
2697,15
2413,16
2191,17
5350,18
1238,19
2512,20
6428,21
4949,22
1159,23
3462,24
2533,25
2306,26
3633,27
6715,28
1205,29
2959,30
5519,31
3167,32
1309,33
1098,34
2990,35
4902,36
3113,37
1717,38
3762,39
3731,40
8526,41
1612,42
3939,43
6194,44
