attach,https://trinity.iota-tangle.io:14265 score: 87.21238473057747 scoreNorm: 0.42710832314787683
721,1094,0
816,5543,1
504,314,2
661,2469,3
503,491,4
438,1599,5
3419,703,6
593,680,7
317,1298,8
351,2693,9
1065,5425,10
545,1794,11
603,1419,12
439,1241,13
269,1823,14
495,2052,15
696,312,16
707,2237,17
876,1627,18
459,947,19
961,1284,20
686,3923,21
1867,1124,22
466,4215,23
488,978,24
650,444,25
470,2292,26
429,1268,27
619,2644,28
536,5443,29
615,4535,30
508,456,31
525,5000,32
512,2754,33
413,1657,34
800,1489,35
776,2055,36
588,784,37
427,895,38
257,1909,39
670,2497,40
699,1802,41
678,538,42
