attach,https://nodes.thetangle.org:443 score: 111.66208342477177 scoreNorm: 0.5468467048353903
897,1074,0
1577,4516,1
884,33873,2
1458,16220,3
-1,-1,4
420,1657,5
559,1031,6
576,6618,7
348,9941,8
762,1063,9
556,1293,10
-1,-1,11
1308,383,12
510,242,13
533,2609,14
880,4342,15
599,11444,16
448,19622,17
1708,26063,18
1531,3297,19
1060,5997,20
1277,3871,21
1218,1392,22
679,11836,23
1287,12600,24
459,47546,25
1229,25688,26
-1,-1,27
1665,37221,28
546,381,29
491,842,30
735,12912,31
429,760,32
397,797,33
1496,1673,34
50848,2038,35
733,20773,36
1593,10445,37
429,17733,38
348,1705,39
1170,3568,40
-1,-1,41
986,1314,42
460,1484,43
509,12077,44
