attach,https://ultranode.iotatoken.nl:443 score: 243.7039976806641 scoreNorm: 0.997832622504918
776,1123,0
8652,21648,1
14073,4422,2
852,3210,3
597,2151,4
1338,30939,5
1443,1742,6
8668,10920,7
3943,6254,8
917,4493,9
897,9785,10
842,2889,11
1171,3171,12
8856,7152,13
1915,25274,14
8369,39517,15
64949,12790,16
3481,83617,17
32462,29987,18
16447,50651,19
1928,114696,20
100993,53266,21
111711,27361,22
42420,108941,23
38375,116089,24
56958,83959,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,30
-1,-1,29
-1,-1,31
-1,-1,32
57139,89675,33
-1,-1,34
62650,83157,35
-1,-1,36
-1,-1,38
119204,78273,37
-1,-1,40
-1,-1,39
-1,-1,41
-1,-1,43
-1,-1,42
