attach,https://dyn.tangle-nodes.com:443 score: 143.28914415836334 scoreNorm: 0.9994540744594812
-1,-1,0
-1,-1,1
-1,-1,2
1570308136534,1570308139206,1570308143752,3
1570308206572,1570308208324,1570308209093,4
1570308241593,1570308243907,1570308248664,5
-1,-1,6
1570308381981,1570308409417,1570308433280,7
-1,-1,8
-1,-1,9
-1,-1,10
-1,-1,11
1570309082423,1570309098659,1570309100324,12
-1,-1,13
1570309222552,1570309229685,1570309235298,14
1570309292587,1570309309022,1570309329249,15
1570309327706,1570309335077,1570309340907,16
1570309397750,1570309399752,1570309400839,17
1570309467787,1570309470197,1570309471747,18
1570309502812,1570309504372,1570309519000,19
-1,-1,20
-1,-1,21
-1,-1,22
1570309748122,1570309749583,1570309752339,23
1570309818340,1570309819357,1570309849846,24
1570309888365,1570309890796,1570309894037,25
1570309923385,1570309925130,1570309928188,26
-1,-1,27
1570310063600,1570310066829,1570310074900,28
-1,-1,29
-1,-1,30
1570310344022,1570310355341,1570310357498,31
1570310414064,1570310416364,1570310424173,32
-1,-1,33
1570310519295,1570310521226,1570310522337,34
-1,-1,35
-1,-1,36
-1,-1,37
1570311197162,1570311207419,1570311218299,38
1570311267209,1570311268586,1570311269500,39
1570311302235,1570311317217,1570311333899,40
1570311372273,1570311374644,1570311377146,41
-1,-1,42
-1,-1,43
