attach,http://89.163.242.213:14265 score: 233.96045151095916 scoreNorm: 1
8787,19279,0
12296,9822,1
508,29271,2
17325,18885,3
912,1738,4
1945,4128,5
3481,4657,6
630,1876,7
4607,37916,8
35084,23554,9
29136,16762,10
3278,39704,11
6827,45991,13
76941,51096,12
31938,22346,14
43204,39692,15
49323,30273,16
17981,54223,17
43475,34923,18
11987,65904,19
39745,45166,20
4673,89732,21
106677,29429,22
107409,6550,23
84787,47984,25
-1,-1,24
96659,42778,26
-1,-1,27
3487,111903,28
42202,46390,29
4058,55898,30
1442,35691,31
660,35312,32
16824,3381,33
908,3831,34
12595,10072,35
17253,38684,36
16656,9759,37
1933,38904,38
1464,8694,39
545,1650,40
759,8297,41
1679,9928,42
16883,13061,43
2961,3104,44
