attach,https://ultranode.iotatoken.nl:443 score: 233.43118256293403 scoreNorm: 0.9977377845503075
823,2947,0
597,2084,1
30781,4457,2
9348,3167,3
1103,2042,4
1760,1514,5
11318,16889,6
5037,5951,7
23601,12344,8
24247,51257,9
30014,18067,10
467,8444,11
46374,20240,12
820,29729,13
16720,37453,14
25274,30120,15
12946,33501,16
1885,40553,18
71361,46225,17
44697,29643,19
50848,25607,20
51223,32136,21
3787,68137,22
18564,62820,23
35300,52331,24
70753,51295,25
-1,-1,26
90503,33860,28
-1,-1,27
-1,-1,29
83020,24539,30
31846,62680,31
32347,57841,32
39396,16031,33
23122,18189,34
25614,11454,35
568,4559,36
982,8174,37
1659,5201,38
648,3992,39
842,3877,40
1140,4106,41
15060,13438,42
13849,3121,43
