attach,https://wallet2.iota.town:443 score: 111.18791216611862 scoreNorm: 1
18643,0
151844,1
204657,2
228834,3
327980,4
416983,5
547388,6
113608,7
135092,8
560636,9
616016,10
671190,11
671499,12
685141,13
-1,16
-1,15
-1,14
-1,20
-1,21
-1,22
-1,19
-1,18
-1,23
-1,24
990845,17
-1,29
-1,28
-1,27
481225,31
-1,30
908134,25
939203,26
858897,32
816346,33
-1,38
-1,37
-1,36
-1,35
-1,39
-1,40
-1,34
-1,41
-1,42
-1,43
630520,44
